Subject,Gender,Condition,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
QWJ,F,长,2.0713488345685334,0.31948672237575476,0.15424090671927046,1.0145698175367532,6.483364376352324,-2.1873999135878406,0.5252003610460091
QWJ,F,漫,4.726140283602734,0.45715624034774976,0.09672929979117331,-1.3797589248404716,10.338129213784006,2.9747430889434754,0.8374647606455299
RHY,M,长,3.911655035711835,0.6421880030209289,0.1641729644250352,1.7273935512544591,6.09113689030462,-2.5066049908208123,0.5561569861304615
RHY,M,漫,3.331565171729686,0.38192554325831635,0.11463847278125669,0.352116116134888,8.72307503527297,-0.5109524771649067,0.7964685753704451
RHY,M,短,4.188201490660211,0.5333775405547387,0.12735240693270924,-0.2252257096155046,7.852226935360415,0.32682296826533636,0.7169549700538875
SYY,M,漫,428.7017587915667,50.34949667960755,0.1174464430039516,-377.9667318753355,8.51451925169291,2.9241385981405985,0.44412554354481815
SYY,M,短,48.03501621844818,1.6898687290211953,0.035179934598881,-29.408199694355027,28.425294458387302,0.2275164573385081,1.482690798924755
SYY,M,长,147.42049027025658,9.997374154636358,0.06781536363302557,-105.22030199983564,14.745921077875154,0.8140365816301824,0.7691614781983342
WBB,F,短,3.7631452370701926,0.42648500021027264,0.1133320595785226,1.644886061681003,8.823628580641348,-1.5749109886352517,0.37333509389208436
WBB,F,漫,3.17751316845357,0.3927454282464064,0.12360151081216368,3.0836306760228633,8.090515993123198,-2.952449990121553,0.34231648808913434
WBB,F,长,3.5203834678921533,0.42705194826495463,0.12130836091008405,0.9980029276300613,8.2434548822337,-0.9555469001959066,0.34878746020723655
WH,F,短,3.7260742283711332,0.7579158558323945,0.20340868414844224,0.29538086804091623,4.916210948349809,-1.6014681437446154,0.8101091820149856
WH,F,长,3.985041710217997,1.0668906590553182,0.2677238374493589,0.7738460217642178,3.735192239612038,-4.195565407598539,0.6154970894640959
WH,F,漫,4.596144115646198,1.0822019159085439,0.23545865592519413,0.4919113162291051,4.247030104162757,-2.6669984001105713,0.6998393925368843
WJF,M,长,11.995981965833916,3.7968749183634523,0.3165122229407676,-0.20294967343936143,3.159435647409866,-0.10104224095654266,0.10671786873234564
WJF,M,短,3.114036691061582,0.740782151247095,0.23788485003192453,0.9752407661380684,4.203714527704468,0.485541616366328,0.14199100890806102
WJF,M,漫,2.5596196759693775,0.49690294595226625,0.19413155423728312,0.26311100629137973,5.151146107745678,0.1309946709717438,0.17399288844455538
WQX,F,漫,6.585716764098398,0.49184645684032113,0.07468381566629008,1.065522834191892,13.389781856731892,-0.4634701191444096,0.6256873668984372
WQX,F,短,11.932860711864699,1.3251047128683415,0.11104669239546272,-6.235012481613891,9.005220942905448,2.7120413425134084,0.4208024477465534
WQX,F,长,6.390030116918169,0.5719963464484061,0.0895138733280764,1.2141495914850324,11.171452679015577,-0.5281182512165314,0.5220276839424022
WWZ,F,短,5.531600927237413,0.5695906637786722,0.10297031027202763,1.2439208680576455,9.711537212602288,27.0744842707665,0.4679293770930816
WWZ,F,漫,4.222795543749239,0.6116427851069224,0.14484309713083363,0.47610007364298124,6.904022489223092,10.362527300699899,0.33265536362529396
